str_id,severity_id,wwacbd,wwacbh,wwacc,wwach,wwafuel13,wwafuel40
3840,7913,1,263,35,57,2,121
3841,7915,1,144,45,25,6,147
3842,7918,8,13,45,57,10,165
3843,7919,22,13,75,57,10,165
3844,7930,11,16,55,57,8,183
3845,7931,6,43,35,57,9,188
3846,7937,6,20,35,57,8,183
3847,7943,11,13,55,57,10,165
3848,7948,11,20,55,57,10,165
3849,7949,1,144,25,25,6,147
3850,7951,1,263,75,57,8,161
3851,7952,1,263,45,57,8,161
3852,7954,27,13,35,25,5,145
3853,7957,19,13,25,8,2,122
3854,7961,1,263,65,57,8,161
3855,7962,19,13,25,25,2,122
3856,7964,1,263,55,57,8,161
3857,7966,19,13,25,25,2,122
3858,7967,8,13,45,57,8,161
3859,7972,8,20,45,57,10,165
3860,7973,11,20,55,57,10,165
3861,7974,8,20,45,57,8,183
3862,7979,1,263,45,57,8,161
3863,7981,14,13,15,8,1,101
3864,7982,11,13,55,57,10,165
3865,7984,1,144,15,25,2,121
3866,7985,27,13,35,25,5,145
3867,7986,11,20,55,57,10,165
3868,7988,1,144,45,25,6,147
3869,7994,27,13,35,25,5,145
3870,7996,8,23,45,57,10,165
3871,7998,19,13,25,25,2,122
3872,8004,1,144,25,25,2,122
3873,8005,14,13,15,8,1,101
3874,8006,1,263,45,57,8,161
3875,8009,1,144,25,25,8,161
3876,8010,19,13,25,8,2,122
3877,8011,38,13,45,25,8,183
3878,8013,19,13,25,8,2,122
3879,8015,11,13,55,57,10,165
3880,8017,11,13,55,57,10,165
3881,8018,27,13,35,25,5,145
3882,8019,22,13,75,57,10,165
3883,8025,38,13,45,25,8,183
3884,8028,19,13,25,8,5,142
3885,8031,16,20,65,57,10,165
3886,8033,8,13,45,57,8,161
3887,8035,27,13,35,25,5,145
3888,8036,1,144,65,25,6,147
3889,8039,8,39,45,57,8,183
3890,8040,8,20,45,57,8,183
3891,8041,1,263,45,57,8,161
3892,8042,22,20,75,57,10,165
3893,8043,1,144,45,25,6,147
3894,8044,11,13,55,57,10,165
3895,8046,1,263,35,57,2,121
3896,8047,19,13,25,25,2,122
3897,8048,27,13,35,25,5,145
3898,8049,11,7,55,57,10,165
3899,8050,6,20,35,57,10,165
3900,8051,38,13,45,25,8,183
3901,8053,1,263,65,57,8,161
3902,8055,6,7,35,57,8,183
3903,8057,19,13,25,25,2,122
3904,8059,11,13,55,57,10,165
3905,8060,11,20,55,57,10,165
3906,8063,16,7,65,57,10,165
3907,8065,19,13,25,25,2,122
3908,8066,6,43,35,57,9,188
3909,8069,19,13,25,25,2,121
